,Brand,Result
190,Samsung, packaging packed bounce bubble
191,Samsung, deal  specious fixing
192,Nokia, great evening nonsmartphone fried
193,Samsung, battery life hr lasted
194,Samsung, phone call use nokia
195,Samsung, phone call use nokia
196,Samsung, button home stick working
197,Samsung, scratch condition scratched dent
198,Samsung, phone call use nokia
199,Samsung, phone call use nokia
200,Samsung, phone call use nokia
201,Nokia, workingi addit trashed conditionit
202,Samsung, unlock locked code unlocked
203,Samsung, stoled ihad new happy
204,Samsung, like thats espect yes
205,Samsung, phone call use nokia
206,Samsung, phone call use nokia
207,Samsung, problem complaint godblessxoxo adi
208,Samsung, son christmas gift clam
209,Samsung, shipping fast shipped shipment
210,Samsung, truely neat amazing incredible
211,Samsung, phone call use nokia
212,Samsung, phone call use nokia
213,Samsung, ok its instruction good
214,Samsung, phone call use nokia
215,Samsung, camera front solution picture
216,Samsung, phone call use nokia
217,Samsung, iphone til thousand nonmarket
218,Samsung, displayless displaying lour goodpoor
219,Samsung, dropped drop mths discounted
220,Samsung, samsung galaxy satisfying smaller
221,Samsung, condition thank discription perfect
222,Samsung, trans far patria stole
223,Samsung, phone call use nokia
224,Samsung, thanks work great far
225,Apple, love sonand jut movil
226,Nokia, good fone oh clean
227,Samsung, phone call use nokia
228,Samsung, expected everything flight packed
229,Samsung, packaging packed bounce bubble
230,Samsung, freeze freezing texter slow
231,Samsung, phone call use nokia
232,Nokia, wife gift finland germany
233,Samsung, delievery thanks everything perfect
234,Samsung, upgrade upgraded wisely fantastically
235,Samsung, upgrade upgraded wisely fantastically
236,Samsung, dropped drop mths discounted
237,Samsung, phone call use nokia
238,Samsung, phone call use nokia
239,Samsung, phone call use nokia
240,Samsung, box headphone original came
241,Samsung, christmas husband present mom
242,Samsung, mishap  recommended recommend
243,Samsung, phone call use nokia
244,Samsung, scratch condition scratched dent
245,Samsung, deal  specious fixing
246,Samsung, s galaxy oppose itoverall
247,Nokia, product excellent responsable great
248,Samsung, phone call use nokia
249,Samsung, phone call use nokia
250,Samsung, phone call use nokia
251,Samsung, samsung galaxy satisfying smaller
252,Samsung, phone call use nokia
253,Samsung, love pink fori phonevery
254,Samsung, phone call use nokia
255,Samsung, phone call use nokia
256,Samsung, phone call use nokia
257,Samsung, s mini imei a
258,Samsung, charge charged charging charger
259,Samsung, service client surely net
260,Samsung, cc sinceholds longwifi unblocked
261,Samsung, satisfied thisproduct completely satisfying
262,Samsung, expected everything flight packed
263,Samsung, s galaxy oppose itoverall
264,Samsung, charge charged charging charger
265,Samsung, gift grandson nephew shipperthank
266,Samsung, phone call use nokia
267,Nokia, great wonderful  
268,Samsung, pro resolutioncons tsummary investing
